UID,PEOPLE ID,SHOW ID,QTY,PRICE
1,2,1,2,10
2,3,1,3,10
39,11,1,3,10
40,15,1,4,10
35,2,2,3,10
36,3,2,4,10
4,5,2,4,10
3,12,2,2,10
33,5,3,1,10
34,6,3,2,10
5,7,3,2,10
6,8,3,1,10
31,1,4,3,10
32,4,4,4,10
7,9,4,2,10
8,10,4,3,10
10,12,5,2,10
30,19,5,2,10
9,1,5,4,10
29,20,5,1,10
11,1,6,1,10
12,4,6,3,10
27,9,6,3,10
28,10,6,4,10
13,5,7,4,10
25,6,7,1,10
14,7,7,2,10
26,8,7,2,10
16,3,8,1,10
24,5,8,4,10
15,13,8,3,10
23,14,8,3,10
21,2,9,1,10
22,3,9,2,10
17,13,9,2,10
18,18,9,3,10
19,14,10,4,10
20,15,10,1,10
38,18,10,2,10
37,19,10,1,10
